6 1	  6   4.764278e+02   7.407407e-03
6 1	  7   4.800392e+02   4.664723e-03
6 1	  8   4.823831e+02   3.125000e-03
6 1	  9   4.839901e+02   2.194787e-03
6 1	 10   4.851396e+02   1.600000e-03
6 1	 11   4.859901e+02   1.202104e-03
6 1	 12   4.866369e+02   9.259259e-04
6 1	 13   4.871404e+02   7.282658e-04
6 1	 14   4.875398e+02   5.830904e-04
6 1	 15   4.878620e+02   4.740741e-04
6 1	 16   4.881258e+02   3.906250e-04
6 1	 17   4.883444e+02   3.256666e-04
6 1	 18   4.885275e+02   2.743484e-04
6 1	 19   4.886825e+02   2.332702e-04
6 1	 20   4.888149e+02   2.000000e-04
6 1	 21   4.889288e+02   1.727675e-04
6 1	 22   4.890275e+02   1.502630e-04
6 1	 23   4.891136e+02   1.315032e-04
6 1	 24   4.891892e+02   1.157407e-04
6 1	 25   4.892559e+02   1.024000e-04
6 1	 26   4.893151e+02   9.103323e-05
6 1	 27   4.893678e+02   8.128842e-05
6 1	 28   4.894149e+02   7.288630e-05
6 1	 29   4.894573e+02   6.560335e-05
6 1	 30   4.894955e+02   5.925926e-05
6 1	 31   4.895301e+02   5.370750e-05
6 1	 32   4.895614e+02   4.882813e-05
6 1	 33   4.895900e+02   4.452236e-05
6 1	 34   4.896161e+02   4.070832e-05
6 1	 35   4.896400e+02   3.731778e-05
6 1	 36   4.896619e+02   3.429355e-05
6 1	 37   4.896820e+02   3.158747e-05
6 1	 38   4.897006e+02   2.915877e-05
6 1	 39   4.897178e+02   2.697281e-05
6 1	 40   4.897337e+02   2.500000e-05
6 1	 41   4.897485e+02   2.321499e-05
6 1	 42   4.897622e+02   2.159594e-05
6 1	 43   4.897750e+02   2.012401e-05
6 1	 44   4.897869e+02   1.878287e-05
6 1	 45   4.897980e+02   1.755830e-05
6 1	 46   4.898084e+02   1.643791e-05
6 1	 47   4.898182e+02   1.541084e-05
6 1	 48   4.898273e+02   1.446759e-05
6 1	 49   4.898359e+02   1.359978e-05
6 1	 50   4.898440e+02   1.280000e-05
6 1	 51   4.898516e+02   1.206173e-05
6 1	 52   4.898588e+02   1.137915e-05
6 1	 53   4.898655e+02   1.074713e-05
6 1	 54   4.898719e+02   1.016105e-05
6 1	 55   4.898780e+02   9.616829e-06
6 1	 56   4.898837e+02   9.110787e-06
6 1	 57   4.898892e+02   8.639635e-06
6 1	 58   4.898943e+02   8.200418e-06
6 1	 59   4.898992e+02   7.790475e-06
6 1	 60   4.899039e+02   7.407407e-06
6 1	 61   4.899083e+02   7.049048e-06
6 1	 62   4.899125e+02   6.713437e-06
6 1	 63   4.899165e+02   6.398797e-06
6 1	 64   4.899204e+02   6.103516e-06
6 1	 65   4.899240e+02   5.826127e-06
6 1	 66   4.899275e+02   5.565295e-06
6 1	 67   4.899308e+02   5.319803e-06
6 1	 68   4.899340e+02   5.088541e-06
6 1	 69   4.899371e+02   4.870491e-06
6 1	 70   4.899400e+02   4.664723e-06
6 1	 71   4.899428e+02   4.470385e-06
6 1	 72   4.899455e+02   4.286694e-06
6 1	 73   4.899480e+02   4.112931e-06
6 1	 74   4.899505e+02   3.948433e-06
6 1	 75   4.899529e+02   3.792593e-06
6 1	 76   4.899552e+02   3.644846e-06
6 1	 77   4.899573e+02   3.504675e-06
6 1	 78   4.899595e+02   3.371601e-06
6 1	 79   4.899615e+02   3.245179e-06
6 1	 80   4.899634e+02   3.125000e-06
6 1	 81   4.899653e+02   3.010682e-06
6 1	 82   4.899671e+02   2.901873e-06
6 1	 83   4.899689e+02   2.798245e-06
6 1	 84   4.899705e+02   2.699492e-06
6 1	 85   4.899722e+02   2.605333e-06
6 1	 86   4.899737e+02   2.515502e-06
6 1	 87   4.899753e+02   2.429754e-06
6 1	 88   4.899767e+02   2.347859e-06
6 1	 89   4.899781e+02   2.269603e-06
6 1	 90   4.899795e+02   2.194787e-06
6 1	 91   4.899808e+02   2.123224e-06
6 1	 92   4.899821e+02   2.054738e-06
6 1	 93   4.899833e+02   1.989167e-06
6 1	 94   4.899845e+02   1.926355e-06
6 1	 95   4.899857e+02   1.866161e-06
6 1	 96   4.899868e+02   1.808449e-06
6 1	 97   4.899879e+02   1.753092e-06
6 1	 98   4.899890e+02   1.699972e-06
6 1	 99   4.899900e+02   1.648976e-06
6 1	100   4.899910e+02   1.600000e-06
7 1	  6   6.485889e+02   7.407407e-03
7 1	  7   6.535053e+02   4.664723e-03
7 1	  8   6.566962e+02   3.125000e-03
7 1	  9   6.588840e+02   2.194787e-03
7 1	 10   6.604488e+02   1.600000e-03
7 1	 11   6.616066e+02   1.202104e-03
7 1	 12   6.624872e+02   9.259259e-04
7 1	 13   6.631725e+02   7.282658e-04
7 1	 14   6.637163e+02   5.830904e-04
7 1	 15   6.641550e+02   4.740741e-04
7 1	 16   6.645141e+02   3.906250e-04
7 1	 17   6.648116e+02   3.256666e-04
7 1	 18   6.650610e+02   2.743484e-04
7 1	 19   6.652720e+02   2.332702e-04
7 1	 20   6.654522e+02   2.000000e-04
7 1	 21   6.656073e+02   1.727675e-04
7 1	 22   6.657417e+02   1.502630e-04
7 1	 23   6.658589e+02   1.315032e-04
7 1	 24   6.659618e+02   1.157407e-04
7 1	 25   6.660526e+02   1.024000e-04
7 1	 26   6.661331e+02   9.103323e-05
7 1	 27   6.662049e+02   8.128842e-05
7 1	 28   6.662691e+02   7.288630e-05
7 1	 29   6.663268e+02   6.560335e-05
7 1	 30   6.663788e+02   5.925926e-05
7 1	 31   6.664258e+02   5.370750e-05
7 1	 32   6.664685e+02   4.882813e-05
7 1	 33   6.665074e+02   4.452236e-05
7 1	 34   6.665429e+02   4.070832e-05
7 1	 35   6.665754e+02   3.731778e-05
7 1	 36   6.666052e+02   3.429355e-05
7 1	 37   6.666327e+02   3.158747e-05
7 1	 38   6.666580e+02   2.915877e-05
7 1	 39   6.666814e+02   2.697281e-05
7 1	 40   6.667030e+02   2.500000e-05
7 1	 41   6.667231e+02   2.321499e-05
7 1	 42   6.667418e+02   2.159594e-05
7 1	 43   6.667592e+02   2.012401e-05
7 1	 44   6.667754e+02   1.878287e-05
7 1	 45   6.667906e+02   1.755830e-05
7 1	 46   6.668047e+02   1.643791e-05
7 1	 47   6.668180e+02   1.541084e-05
7 1	 48   6.668305e+02   1.446759e-05
7 1	 49   6.668421e+02   1.359978e-05
7 1	 50   6.668532e+02   1.280000e-05
7 1	 51   6.668635e+02   1.206173e-05
7 1	 52   6.668733e+02   1.137915e-05
7 1	 53   6.668825e+02   1.074713e-05
7 1	 54   6.668912e+02   1.016105e-05
7 1	 55   6.668995e+02   9.616829e-06
7 1	 56   6.669073e+02   9.110787e-06
7 1	 57   6.669147e+02   8.639635e-06
7 1	 58   6.669217e+02   8.200418e-06
7 1	 59   6.669284e+02   7.790475e-06
7 1	 60   6.669347e+02   7.407407e-06
7 1	 61   6.669407e+02   7.049048e-06
7 1	 62   6.669465e+02   6.713437e-06
7 1	 63   6.669519e+02   6.398797e-06
7 1	 64   6.669571e+02   6.103516e-06
7 1	 65   6.669621e+02   5.826127e-06
7 1	 66   6.669669e+02   5.565295e-06
