Mg	12 1 5	e	6.4974	v	4.11e11		7.80e-03
Mg	12 1 6	rrc	6.31714	m	0.		0.

Mg	12 2 1	f	9.3143	a	0.		0.
Mg	12 2 2	i=xy	9.22969	am	0.		0.
Mg	12 2 3	r	9.16875	amv	1.96e13		7.42e-01
Mg	12 2 4	b	7.8505	avm	5.45e12		1.51e-01
Mg	12 2 5	c	7.4731	av	2.25e12		5.65e-02
Mg	12 2 6	d	7.3103	av	1.14e12		2.73e-02
Mg	12 2 7	e	7.2247	av	6.52e11		1.53e-02
Mg	12 2 8	f	7.1741	av	4.11e11		9.52e-03
Mg	12 2 9	rrc	7.0373	a	0.		0.

Al	13 1 1	a	7.17271	mv	1.80e13		4.16e-01
Al	13 1 2	b	6.05291	mv	4.79e12		7.90e-02
Al	13 1 3	c	5.73927	mv	1.96e12		2.90e-02
Al	13 1 4	d	5.60486	mv	9.84e11		1.39e-02
Al	13 1 5	e	5.5345	v	5.66e11		7.80e-03
Al	13 1 6	rrc  	5.38093	m	0.		0.

Al	13 2 1	f	7.87212	m	0.		0.
Al	13 2 2	i=xy	7.8054	m	0.		0.
Al	13 2 3	r	7.75730	mv	2.77e13		7.50e-01
Al	13 2 4	b	6.63476	mv	7.68e12		1.52e-01
Al	13 2 5	c	6.3139	v	3.16e12		5.67e-02
Al	13 2 6	d	6.1755	v	1.60e12		2.75e-02
Al	13 2 7	e	6.1028	v	9.19e11		1.54e-02
Al	13 2 8	f	6.0598	v	5.77e11		9.53e-03
Al	13 2 9	rrc 	5.9437	a	0.		0.

Si	14 1 1	a	6.18223	mv	2.42e13		4.16e-01
Si	14 1 2	b	5.21719	mv	6.45e12		7.90e-02
Si	14 1 3	c	4.9469	v	2.63e12		2.90e-02
Si	14 1 4	d	4.8311	v	1.32e12		1.39e-02
Si	14 1 5	e	4.7704	v	7.62e11		7.80e-03
Si	14 1 6	rrc	4.63808	m	0.		0.

Si	14 2 1	f	6.73949	m	0.		0.
Si	14 2 2	i=xy	6.68659	m	0.		0.
Si	14 2 3	r	6.64795	mv	3.81e13		7.57e-01
Si	14 2 4	b	5.6807	vm	1.05e13		1.52e-01
Si	14 2 5	c	5.4046	v	4.32e12		5.68e-02
Si	14 2 6	d	5.2856	v	2.19e12		2.75e-02
Si	14 2 7	e	5.223	v	1.26e12		1.54e-02
Si	14 2 8	f	5.1861	v	7.89e11		9.54e-03
Si	14 2 9	rrc 	5.0863	a	0.		0.

P	15 1 1	a	4.7292	v	4.14e13		4.16e-01
P	15 1 2	b	3.9912	v	1.10e13		7.90e-02
P	15 1 3	c	3.7845	v	4.50e12		2.90e-02
P	15 1 4	d	3.6959	v	2.26e12		1.39e-02
P	15 1 5	e	3.6496	v	1.30e12		7.80e-03
P	15 1 6	rrc	3.54830	m	0.		0.

P	15 2 1	f	5.10150	a?	0.		0.
P	15 2 2	i=xy	5.06482	m	0.		0.
P	15 2 3	r	5.03873	mv	6.72e13		7.67e-01
P	15 2 4	b	4.29915	mv	1.84e13		1.53e-01
P	15 2 5	c	4.0885	v	7.59e12		5.71e-02
P	15 2 6	d	3.9978	v	3.84e12		2.76e-02
P	15 2 7	e	3.9501	v	2.19e12		1.54e-02
P	15 2 8	f	3.9219	v	1.38e12		9.57e-03
P	15 2 9	rrc 	3.8459	a	0.		0.

S	16 1 1	a	4.7292	v	4.14e13		4.16e-01
S	16 1 2	b	3.9912	v	1.10e13		7.90e-02
S	16 1 3	c	3.7845	v	4.50e12		2.90e-02
S	16 1 4	d	3.6959	v	2.26e12		1.39e-02
S	16 1 5	e	3.6496	v	1.30e12		7.80e-03
S	16 1 6	rrc	3.54830	m	0.		0.

