6   1   4.0
6   2   2.5 
7   1   4.0
7   2   3.0
8   1  10.0
8   2   4.0
10  1  10.0
10  2  10.0
10  3  10.0
10  4  10.0
10  5  10.0
10  6  10.0
10  7  10.0
10  8  10.0
10  9  10.0
10 10  10.0
12  1  10.0
12  2  10.0
12  3  10.0
12  4  10.0
12  5  10.0
12  6  10.0
12  7  10.0
12  8  10.0
12  9  10.0
12 10  10.0
13  1  10.0
13  2  10.0
13  3  10.0
13  4  10.0
13  5  10.0
13  6  10.0
13  7  10.0
13  8  10.0
13  9  10.0
13 10  10.0
14  1  10.0
14  2  10.0
14  3  10.0
14  4  10.0
14  5  10.0
14  6  10.0
14  7  10.0
14  8  10.0
14  9  10.0
14 10  10.0
16  1  10.0
16  2  10.0
16  3  10.0
16  4  10.0
16  5  10.0
16  6  10.0
16  7  10.0
16  8  10.0
16  9  10.0
16 10  10.0
18  1  10.0
18  2  10.0
18  3  10.0
18  4  10.0
18  5  10.0
18  6  10.0
18  7  10.0
18  8  10.0
18  9  10.0
18 10  10.0
20  1  10.0
20  2  10.0
20  3  10.0
20  4  10.0
20  5  10.0
20  6  10.0
20  7  10.0
20  8  10.0
20  9  10.0
20 10  10.0
26  1  10.0
26  2  10.0
26  3  10.0
26  4  10.0
26  5  10.0
26  6  10.0
26  7  10.0
26  8  10.0
26  9  10.0
26 10  10.0
28  1  10.0
28  2  10.0
28  3  10.0
28  4  10.0
28  5  10.0
28  6  10.0
28  7  10.0
28  8  10.0
28  9  10.0
28 10  10.0
